zip,BDY,DEM,GRE,IND,LIB,REP,total,d_share
80620,0.0,4333.0,0.0,0.0,0.0,2261.0,6594.0,0.6571125265392781
80621,0.0,4419.0,0.0,0.0,0.0,25140.0,29559.0,0.1494976149396123
80622,0.0,77.0,0.0,0.0,0.0,0.0,77.0,1.0
80623,0.0,410.0,0.0,0.0,0.0,0.0,410.0,1.0
80624,0.0,0.0,0.0,0.0,0.0,740.0,740.0,0.0
80631,0.0,19126.0,0.0,0.0,0.0,5546.0,24672.0,0.7752107652399481
80632,0.0,1050.0,0.0,0.0,0.0,2708.0,3758.0,0.27940393826503457
80633,0.0,0.0,0.0,0.0,0.0,910.0,910.0,0.0
80634,0.0,29943.0,0.0,0.0,0.0,31380.0,61323.0,0.4882833520864928
80639,0.0,115.0,0.0,0.0,0.0,0.0,115.0,1.0
80640,0.0,9569.0,0.0,0.0,0.0,1901.0,11470.0,0.8342632955536181
80642,0.0,1205.0,0.0,0.0,0.0,997.0,2202.0,0.5472297910990009
80643,0.0,900.0,0.0,0.0,0.0,3597.0,4497.0,0.200133422281521
80644,0.0,1303.0,0.0,0.0,0.0,339.0,1642.0,0.7935444579780755
80645,0.0,750.0,0.0,0.0,0.0,16516.0,17266.0,0.043437970578014594
80648,0.0,918.0,0.0,0.0,0.0,1175.0,2093.0,0.4386048733874821
80649,0.0,0.0,0.0,0.0,0.0,560.0,560.0,0.0
80650,0.0,291.0,0.0,0.0,0.0,0.0,291.0,1.0
80651,0.0,2490.0,0.0,0.0,0.0,1844.0,4334.0,0.5745269958467928
80653,0.0,27.0,0.0,0.0,0.0,500.0,527.0,0.051233396584440226
80654,0.0,2665.0,0.0,0.0,0.0,42.0,2707.0,0.9844846693756927
80701,0.0,2582.0,0.0,0.0,0.0,4464.0,7046.0,0.36644904910587567
80720,0.0,348.0,0.0,0.0,0.0,2076.0,2424.0,0.14356435643564355
80722,0.0,200.0,0.0,0.0,0.0,50.0,250.0,0.8
80723,0.0,571.0,0.0,0.0,0.0,173.0,744.0,0.7674731182795699
80728,0.0,0.0,0.0,0.0,0.0,704.0,704.0,0.0
80729,0.0,0.0,0.0,0.0,0.0,476.0,476.0,0.0
80731,0.0,0.0,0.0,0.0,0.0,719.0,719.0,0.0
80733,0.0,25.0,0.0,0.0,0.0,95.0,120.0,0.20833333333333334
80734,0.0,125.0,0.0,0.0,0.0,1250.0,1375.0,0.09090909090909091
80735,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
80736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80743,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0
80747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80749,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0
80750,0.0,200.0,0.0,0.0,0.0,237.0,437.0,0.4576659038901602
80751,0.0,1870.0,0.0,0.0,0.0,8309.0,10179.0,0.18371156302190786
80758,0.0,39.0,0.0,0.0,0.0,132.0,171.0,0.22807017543859648
80759,0.0,8581.0,0.0,0.0,0.0,0.0,8581.0,1.0
80801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80802,0.0,0.0,0.0,0.0,0.0,146.0,146.0,0.0
80804,0.0,1895.0,0.0,0.0,320.0,920.0,3135.0,0.6044657097288676
80805,0.0,0.0,0.0,0.0,0.0,250.0,250.0,0.0
80807,0.0,1887.0,0.0,0.0,0.0,3017.0,4904.0,0.3847879282218597
80808,0.0,1125.0,0.0,0.0,0.0,79.0,1204.0,0.9343853820598007
80809,0.0,1666.0,0.0,0.0,0.0,9355.0,11021.0,0.1511659559023682
80810,0.0,0.0,0.0,0.0,0.0,6958.0,6958.0,0.0
80813,0.0,357.0,0.0,0.0,0.0,519.0,876.0,0.4075342465753425
80814,0.0,2424.0,0.0,0.0,0.0,4922.0,7346.0,0.32997549686904437
80815,0.0,0.0,0.0,0.0,0.0,289.0,289.0,0.0
80816,0.0,4199.0,0.0,0.0,0.0,2962.0,7161.0,0.5863706186286831
80817,0.0,4610.0,0.0,0.0,0.0,3893.0,8503.0,0.5421615900270492
80818,0.0,0.0,0.0,0.0,0.0,446.0,446.0,0.0
80819,0.0,1229.0,0.0,0.0,0.0,204.0,1433.0,0.8576413119330076
80820,0.0,2331.0,0.0,0.0,0.0,350.0,2681.0,0.8694516971279374
80821,0.0,620.0,0.0,0.0,0.0,0.0,620.0,1.0
80823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80825,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
80827,0.0,1270.0,0.0,0.0,0.0,1250.0,2520.0,0.503968253968254
80828,0.0,285.0,0.0,0.0,0.0,2060.0,2345.0,0.12153518123667377
80829,0.0,20216.0,0.0,0.0,0.0,4152.0,24368.0,0.829612606697308
80831,0.0,7724.0,0.0,0.0,0.0,3127.0,10851.0,0.7118237950419316
80833,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0
80836,0.0,420.0,0.0,0.0,0.0,3794.0,4214.0,0.09966777408637874
